image_id,dog_visible,face_clear,no_duplicate_face_parts,no_extra_legs,one_dog,no_mirror,no_multi_panel,pastel_style,no_realistic_rendering,human_prompt_consistency,human_face_clear,prompt_reflected,brightness_ok,sharpness_ok,pastel_color_ok,time_palette_ok,place_context_ok,no_text,reason_dog_visible,reason_face_clear,reason_no_duplicate_face_parts,reason_no_extra_legs,reason_one_dog,reason_no_mirror,reason_no_multi_panel,reason_pastel_style,reason_no_realistic_rendering,reason_human_prompt_consistency,reason_human_face_clear,reason_prompt_reflected,reason_brightness_ok,reason_sharpness_ok,reason_pastel_color_ok,reason_time_palette_ok,reason_place_context_ok,reason_no_text,total_score,raw_level,caps_applied,final_level,input_tokens,output_tokens
20260415_100820_048b3f,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1.0,1.0,1,강아지가 이미지 중앙에 명확히 검출됨.,강아지 얼굴이 선명하고 왜곡되지 않음.,"눈, 코, 귀가 중복되지 않음.",다리의 개수가 자연스럽게 표현됨.,이미지 내 강아지가 한 마리임.,반사 또는 거울 이미지가 없음.,단일 장면으로 구성되어 있음.,한국-일본식 파스텔 그림책 스타일임.,"사실적 렌더링이 없고, 만화적 표현임.",사람이 등장하지 않음.,사람이 등장하지 않음.,이미지 내 상황이 프롬프트의 장면과 일치함.,밝기가 적절하여 내용이 명확히 보임.,전체적으로 선명한 편임.,색감이 파스텔 톤으로 표현됨.,시간대가 불명확하지만 밝은 톤으로 표현됨.,화장실 배경이 프롬프트와 일치함.,이미지에 텍스트가 삽입되지 않음.,16,L4,,L4,1746,535
20260415_101812_e8a482,1,1,1,1,1,1,0,1,1,,,1,1,1,1,1.0,1.0,1,이미지에 강아지가 명확히 보인다.,강아지 얼굴이 선명하게 표현되었다.,강아지의 얼굴 부위가 중복되지 않았다.,강아지의 다리가 정상적으로 표현되었다.,이미지에는 강아지가 정확히 한 마리 있다.,반사 이미지가 보이지 않는다.,이미지가 멀티패널로 나누어져 있다.,이미지가 파스텔 그림책 스타일이다.,사실적 렌더링이 없다.,사람이 등장하지 않는다.,사람이 표현되지 않았다.,프롬프트의 내용이 이미지와 일치한다.,이미지의 밝기가 적절하다.,이미지가 충분히 선명하다.,색감이 파스텔 범위에 속한다.,시간에 대한 명확한 요구가 없어 팔레트가 적절하다.,목욕 장면이 요구된 배경과 일치한다.,이미지에 텍스트가 삽입되지 않았다.,15,L4,no_multi_panel->L1,L1,1743,536
20260415_104723_a91139,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1.0,1.0,1,이미지에 강아지가 목욕을 하고 있는 모습이 명확히 검출됩니다.,강아지의 얼굴이 매우 선명하게 표현되어 있습니다.,"눈, 코, 귀가 중복 생성되지 않았습니다.",강아지의 다리 개수는 정상적으로 표현되었습니다.,이미지에는 단 한 마리의 강아지만 있습니다.,반사된 이미지나 거울 이미지가 없습니다.,이미지는 단일 장면으로 구성되어 있습니다.,한국-일본식 파스텔 그림책 스타일로 표현되었습니다.,사실적 렌더링 요소는 없습니다.,사람이 등장하지 않으므로 해당 사항이 없습니다.,사람이 없으므로 해당 사항이 없습니다.,프롬프트와 일치하게 목욕하는 장면이 잘 반영되었습니다.,이미지의 밝기는 적절합니다.,이미지가 충분히 선명합니다.,색감이 파스텔 범위로 적절합니다.,프롬프트에 낮/밤 정보가 없지만 밝은 색감이 잘 어울립니다.,목욕 중인 욕실이라는 장소가 적절히 반영되었습니다.,이미지에 텍스트가 삽입되지 않았습니다.,16,L4,,L4,1744,579
20260415_105503_770317,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1.0,1.0,1,이미지에 강아지가 명확히 있다.,강아지 얼굴이 선명하게 표현되어 있다.,얼굴에 중복된 부분이 없다.,다리 개수가 정상적으로 표현되어 있다.,이미지에 강아지가 한 마리만 있다.,반사된 이미지가 없다.,단일 장면이다.,파스텔 그림책 스타일이다.,사실적 렌더링이 없다.,사람이 없어서 판단 불가.,사람이 없어서 판단 불가.,프롬프트의 장면이 반영되었다.,밝기가 적절하다.,이미지가 선명하다.,색감이 파스텔 범위에 있다.,낮의 색감이 반영되어 있다.,공원의 배경이 잘 표현되었다.,이미지에 텍스트가 없다.,16,L4,,L4,1742,503
20260415_113143_64da8a,1,1,1,1,1,1,1,1,1,1.0,,1,1,1,1,1.0,1.0,1,강아지가 이미지에서 명확하게 검출됨.,강아지 얼굴이 왜곡 없이 선명하게 표현됨.,"눈, 코, 귀가 중복 생성되지 않음.",다리 개수가 추가 생성되지 않음.,이미지 내 강아지가 정확히 1마리임.,반사/거울 이미지가 없음.,단일 장면으로 표현됨.,한국-일본식 파스텔 그림책 스타일임.,사실적 렌더링이 혼입되지 않음.,사람 표현이 프롬프트와 충돌하지 않음.,사람 얼굴이 식별 가능하지 않음.,프롬프트의 장면이 이미지에 반영됨.,밝기가 적절함.,이미지가 충분히 선명함.,색감이 파스텔 범위에 속함.,낮 시간대와 이미지 팔레트가 일치함.,장소 키워드와 배경이 일치함.,이미지에 텍스트가 삽입되지 않음.,17,L5,,L5,1742,548
20260415_135430_4dcd30,1,1,1,1,1,1,1,1,1,0.0,,0,1,1,1,1.0,1.0,1,강아지가 이미지 중앙에 명확히 검출된다.,강아지 얼굴이 왜곡 없이 선명하게 표현되어 있다.,"강아지의 얼굴 요소(눈, 코, 귀)가 중복되지 않았다.",강아지의 다리가 추가 생성되지 않았다.,이미지 내에 강아지가 한 마리 존재한다.,반사나 거울 이미지가 없다.,단일 장면으로 구성되어 있다.,한국-일본식 파스텔 그림책 스타일로 그려져 있다.,사실적 렌더링 없이 파스텔 풍으로 묘사되었다.,프롬프트에는 친구들이 있지만 이미지에 사람은 없다.,사람이 등장하지 않아 평가 불가.,프롬프트의 '친구' 부분이 이미지에 반영되지 않았다.,이미지의 밝기가 적절하다.,이미지가 선명하다.,색감이 파스텔 범위에 속한다.,이미지의 색조가 시간대를 부정하지 않는다.,프롬프트의 장소와 이미지 배경이 일치한다.,이미지에 텍스트가 삽입되지 않았다.,15,L4,prompt_reflected->L3,L3,1742,550
20260415_150630_acd529,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1.0,1.0,1,이미지에 강아지가 명확히 보입니다.,강아지 얼굴이 선명하게 잘 표현되어 있습니다.,"눈, 코, 귀가 중복 없이 정상적으로 그려졌습니다.",다리 개수에 문제가 없습니다.,이미지에 강아지가 정확히 1마리만 있습니다.,반사 및 거울 이미지가 없습니다.,이미지는 단일 장면으로 표현되어 있습니다.,파스텔 그림책 스타일로 그려져 있습니다.,사실적 렌더링 없이 그림체로 표현되었습니다.,사람이 이미지에 보이지 않습니다.,사람이 이미지에 없습니다.,프롬프트의 공원 산책 장면이 이미지에 잘 반영되었습니다.,밝기가 적절하게 표현되었습니다.,이미지가 선명하게 표현되었습니다.,색감이 파스텔 톤으로 적절히 표현되었습니다.,낮 시간을 반영하는 색조가 잘 표현되었습니다.,공원이라는 장소 키워드가 이미지 배경과 일치합니다.,이미지에 텍스트가 삽입되지 않았습니다.,16,L4,,L4,1743,552
20260415_151718_79edfe,1,1,1,1,1,1,1,1,1,,,0,1,1,1,,1.0,1,이미지에 강아지가 명확히 보인다.,강아지 얼굴이 선명하게 표현되었다.,"눈, 코, 귀 등의 중복이 없다.",다리 개수가 정상적으로 표현되었다.,이미지에 강아지가 한 마리만 있다.,거울이나 반사 이미지가 없다.,단일 장면으로 표현되었다.,파스텔 그림책 스타일로 그려졌다.,사실적 렌더링이 포함되지 않았다.,이미지에 사람이 없어 판단 불가.,이미지에 사람이 없다.,비 오는 날 설정이 반영되지 않았다.,밝기가 적절하다.,이미지가 선명하게 표현되었다.,색감이 파스텔 범위에 속한다.,시간대 팔레트 정보가 명확하지 않다.,프롬프트의 장소(집)가 일치한다.,이미지에 텍스트가 없다.,14,L4,prompt_reflected->L3,L3,1742,517
20260415_152316_c486a4,1,1,1,1,0,1,1,1,1,1.0,1.0,1,1,1,1,,1.0,0,이미지에 강아지가 명확하게 보입니다.,강아지 얼굴이 선명하게 표현되어 있습니다.,"눈, 코, 귀가 중복되지 않았습니다.",다리 개수가 추가되지 않았습니다.,이미지에 두 마리 이상의 강아지가 있습니다.,반사나 거울 이미지는 보이지 않습니다.,단일 장면으로 구성되어 있습니다.,한국-일본식 파스텔 그림책 스타일입니다.,사실적 렌더링이 포함되어 있지 않습니다.,사람의 표현이 프롬프트와 충돌하지 않습니다.,사람 얼굴이 식별 가능하게 표현되었습니다.,프롬프트의 장면이 이미지에 잘 반영되었습니다.,밝기가 적절합니다.,이미지가 충분히 선명합니다.,색감이 파스텔 범위에 속합니다.,프롬프트에 낮/밤 관련 정보가 없습니다.,프롬프트의 장소 키워드가 이미지 배경과 일치합니다.,이미지에 텍스트가 포함되어 있습니다.,15,L4,"one_dog->L1,no_text->L3",L1,1742,547
20260415_152612_8817b3,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1.0,1.0,1,이미지 내에 강아지가 명확히 보입니다.,강아지 얼굴이 뚜렷하게 표현되어 있습니다.,"눈, 코, 귀가 중복 생성되지 않았습니다.",다리가 추가로 생성되지 않았습니다.,이미지에는 강아지가 하나만 있습니다.,반사나 거울 효과가 보이지 않습니다.,단일 장면으로만 구성되어 있습니다.,한국-일본식 파스텔 그림책 스타일입니다.,사실적 렌더링이 혼입되지 않았습니다.,이미지에 사람이 없으므로 적용 불가입니다.,이미지에 사람이 없으므로 해당 항목은 적용되지 않습니다.,'졸린 날의 초코 이야기'에 맞는 장면입니다.,밝기가 적절하게 조절되어 있습니다.,이미지가 충분히 선명합니다.,색감이 파스텔 범위에 잘 맞습니다.,주어진 상황에 맞는 색채 팔레트입니다.,장소가 실내로 잘 표현되었습니다.,이미지에 텍스트가 삽입되어 있지 않습니다.,16,L4,,L4,1739,553
