image_id,dog_visible,face_clear,no_duplicate_face_parts,no_extra_legs,one_dog,no_mirror,no_multi_panel,pastel_style,no_realistic_rendering,human_prompt_consistency,human_face_clear,prompt_reflected,brightness_ok,sharpness_ok,pastel_color_ok,time_palette_ok,place_context_ok,no_text,reason_dog_visible,reason_face_clear,reason_no_duplicate_face_parts,reason_no_extra_legs,reason_one_dog,reason_no_mirror,reason_no_multi_panel,reason_pastel_style,reason_no_realistic_rendering,reason_human_prompt_consistency,reason_human_face_clear,reason_prompt_reflected,reason_brightness_ok,reason_sharpness_ok,reason_pastel_color_ok,reason_time_palette_ok,reason_place_context_ok,reason_no_text,total_score,raw_level,caps_applied,final_level,input_tokens,output_tokens
20260415_100820_048b3f,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1.0,1,1,이미지에 강아지가 명확하게 보입니다.,강아지 얼굴이 선명하게 나타나 있습니다.,"눈, 코, 귀 등 얼굴 부위가 중복되지 않았습니다.",다리 개수가 자연스럽게 표현되었습니다.,이미지에 정확히 한 마리의 강아지가 있습니다.,반사나 거울 효과가 없습니다.,단일 장면으로 구성되어 있습니다.,한국-일본식 파스텔 그림책 스타일로 그려졌습니다.,사실적 렌더링 없이 그림체가 표현되었습니다.,이미지에 사람이 없으므로 평가할 수 없습니다.,이미지에 사람이 없으므로 평가할 수 없습니다.,강아지가 목욕하는 장면이 프롬프트와 일치합니다.,밝기가 적절하게 조절되었습니다.,이미지가 충분히 선명합니다.,색감이 파스텔 톤입니다.,특별한 낮/밤 설정 없이 자연스럽습니다.,프롬프트에 맞는 목욕실 배경으로 보입니다.,이미지에 텍스트가 삽입되지 않았습니다.,16,L4,,L4,1746,612
20260415_101812_e8a482,1,1,1,1,0,1,0,1,1,,,1,1,1,1,,1,1,강아지가 두 장면 모두에서 명확히 보인다.,강아지 얼굴이 선명하게 표현되었다.,"눈, 코, 귀가 중복 생성되지 않았다.",다리가 추가 생성되지 않았다.,이미지에 두 개의 패널이 있어 두 마리 강아지처럼 보일 수 있다.,반사나 거울 이미지는 없다.,이미지가 두 개의 패널로 나뉘어 있다.,한국-일본식 파스텔 그림책 스타일이다.,사실적 렌더링은 없다.,사람이 표현되지 않아 평가 불가.,사람이 없어 평가 불가.,프롬프트의 장면이 이미지에 반영되었다.,밝기가 적절하다.,이미지가 충분히 선명하다.,색감이 파스텔 범위에 속한다.,시간을 판단할 수 있는 요소가 부족하다.,배경이 욕실 같아 장소와 일치한다.,이미지에 텍스트가 삽입되지 않았다.,13,L3,"one_dog->L1,no_multi_panel->L1",L1,1743,542
20260415_104723_a91139,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1.0,1,1,이미지에 강아지가 명확히 보입니다.,강아지 얼굴이 선명하고 왜곡되지 않았습니다.,얼굴 부위가 중복되지 않았습니다.,다리 개수가 추가 생성되지 않았습니다.,이미지에는 정확히 한 마리의 강아지가 있습니다.,반사/거울 이미지가 없습니다.,단일 장면으로 구성되어 있습니다.,파스텔 그림책 스타일로 그려져 있습니다.,사실적 렌더링 요소가 없습니다.,사람이 등장하지 않는 이미지입니다.,사람이 등장하지 않아 평가할 수 없습니다.,프롬프트의 '목욕한 날'이 이미지에 잘 반영되었습니다.,이미지의 밝기가 적절합니다.,이미지가 충분히 선명합니다.,색감이 파스텔 범위에 들어갑니다.,시간대에 맞는 팔레트를 사용했습니다.,목욕실 배경이 적절히 표현되었습니다.,이미지에 텍스트가 삽입되지 않았습니다.,16,L4,,L4,1744,540
20260415_105503_770317,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1.0,1,1,강아지가 명확히 보입니다.,강아지 얼굴이 선명하고 왜곡 없이 표현되었습니다.,"눈, 코, 귀의 중복 생성이 없습니다.",다리 개수가 올바르게 나타났습니다.,이미지 내 강아지가 1마리입니다.,반사나 거울 이미지가 없습니다.,단일 장면을 표현하고 있습니다.,한국식 파스텔 그림 스타일입니다.,사실적 렌더링이 혼입되지 않았습니다.,사람이 이미지에 등장하지 않습니다.,사람이 이미지에 등장하지 않으므로 해당 없음입니다.,프롬프트의 장면이 이미지에 반영되었습니다.,이미지의 밝기가 적절합니다.,이미지가 충분히 선명합니다.,색감이 파스텔 범위에 속합니다.,프롬프트의 낮과 이미지 팔레트가 일치합니다.,프롬프트의 장소가 공원으로 이미지 배경과 일치합니다.,이미지에 텍스트가 삽입되지 않았습니다.,16,L4,,L4,1742,545
20260415_113143_64da8a,1,1,1,1,1,1,1,1,1,1.0,,1,1,1,1,1.0,1,1,이미지에 강아지가 명확히 보인다.,강아지 얼굴이 명확하고 선명하게 보인다.,"눈, 코, 귀가 중복되지 않고 잘 표현되어 있다.",강아지의 다리 개수가 정상적으로 표현되어 있다.,이미지에는 강아지 한 마리만 있다.,반사나 거울 이미지가 없다.,단일 장면으로 구성되어 있다.,한국-일본식 파스텔 그림책 스타일이 잘 드러난다.,사실적 렌더링이 없다.,사람 손이 프롬프트와 충돌하지 않는다.,사람의 얼굴이 보이지 않는다.,프롬프트의 '무릎 위에서 꿈나라' 장면이 반영되었다.,밝기가 적절하게 유지되고 있다.,이미지는 충분히 선명하다.,색감이 파스텔 톤으로 잘 표현되어 있다.,낮의 팔레트와 잘 어울린다.,실내의 장면이 프롬프트와 일치한다.,이미지에 텍스트가 삽입되지 않았다.,17,L5,,L5,1742,564
20260415_135430_4dcd30,1,1,1,1,1,1,1,1,1,0.0,,0,1,1,1,1.0,0,1,이미지에 강아지가 명확히 보입니다.,강아지 얼굴이 선명하게 표현되었습니다.,"눈, 코, 귀가 중복 없이 표현되었습니다.",다리의 개수가 적절하게 표현되었습니다.,이미지에 한 마리의 강아지 만이 있습니다.,반사 이미지가 없습니다.,단일 장면으로 구성되어 있습니다.,파스텔 그림책 스타일로 표현되었습니다.,사실적 렌더링이 포함되지 않았습니다.,프롬프트에는 친구들이 등장해야 하는데 이미지에는 인물이 없습니다.,사람이 없으므로 평가할 수 없습니다.,프롬프트에 명시된 친구들과의 생일파티가 이미지에 반영되지 않았습니다.,이미지의 밝기가 적절합니다.,이미지가 충분히 선명합니다.,이미지의 색감이 파스텔 범위에 속합니다.,프롬프트의 시간과 이미지의 팔레트가 잘 일치합니다.,프롬프트의 생일파티 컨텍스트와 이미지가 일치하지 않습니다.,이미지에 텍스트가 포함되지 않았습니다.,14,L4,prompt_reflected->L3,L3,1742,565
20260415_150630_acd529,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1.0,1,1,이미지에 강아지가 명확히 보인다.,강아지 얼굴이 왜곡 없이 선명하게 나타난다.,"눈, 코, 귀가 중복 생성되지 않았다.",다리 개수가 추가 생성되지 않았다.,이미지 내 강아지가 정확히 한 마리이다.,반사 이미지가 보이지 않는다.,단일 장면으로 구성되어 있다.,한국-일본식 파스텔 그림책 스타일이다.,사실적 렌더링이 포함되지 않았다.,사람이 포함되어 있지 않다.,사람이 포함되어 있지 않다.,프롬프트의 공원 산책 장면이 이미지에 반영되었다.,밝기가 적절하다.,이미지가 충분히 선명하다.,색감이 파스텔 범위에 속한다.,낮의 팔레트가 이미지와 일치한다.,프롬프트의 공원 배경과 이미지가 일치한다.,이미지에 텍스트가 삽입되지 않았다.,16,L4,,L4,1743,543
20260415_151718_79edfe,1,1,1,1,1,1,1,1,1,,,0,1,1,1,0.0,1,1,강아지가 이미지에 명확히 보입니다.,강아지 얼굴이 선명하게 표현되었습니다.,"눈, 코, 귀가 중복되지 않았습니다.",강아지 다리가 정상적으로 표현되었습니다.,이미지에는 정확히 한 마리의 강아지가 있습니다.,반사나 거울 이미지는 없습니다.,단일 장면으로 구성되어 있습니다.,파스텔 그림책 스타일입니다.,사실적 렌더링이 없습니다.,이미지에 사람이 없습니다.,사람이 없으므로 해당되지 않습니다.,비 오는 날을 표현하지 않았습니다.,밝기가 적절합니다.,이미지가 선명하게 표현되었습니다.,색감이 파스텔 범위에 맞습니다.,"낮인지 밤인지 명확하지 않으며, 비 오는 날 표현이 없습니다.",집 안 배경이 잘 표현되었습니다.,텍스트가 삽입되어 있지 않습니다.,14,L4,prompt_reflected->L3,L3,1742,499
20260415_152316_c486a4,1,1,1,1,0,1,1,1,1,1.0,1.0,1,1,1,1,1.0,1,0,이미지에 강아지가 명확히 보임.,강아지 얼굴이 선명하게 표현됨.,얼굴 부위의 중복 없음.,다리 개수에 이상 없음.,이미지 내 강아지가 두 마리 보임.,반사/거울 이미지 없음.,단일 장면임.,파스텔 그림책 스타일로 표현됨.,사실적 렌더링이 포함되지 않음.,프롬프트와 사람 표현의 충돌 없음.,사람 얼굴이 식별 가능함.,프롬프트 내용과 이미지가 일치함.,밝기가 적절함.,이미지가 충분히 선명함.,색감이 파스텔 범위에 해당함.,프롬프트의 시간과 팔레트가 일치함.,장소 키워드와 배경이 일치함.,이미지에 'DOG CAFE' 텍스트가 포함됨.,16,L4,"one_dog->L1,no_text->L3",L1,1742,526
20260415_152612_8817b3,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1.0,1,1,이미지에 강아지가 명확히 나타나 있다.,강아지 얼굴이 왜곡 없이 선명하게 표현되었다.,중복된 얼굴 부위 없이 정상적으로 표현되었다.,강아지의 다리가 추가로 생성되지 않았다.,이미지에는 하나의 강아지만 존재한다.,이미지에 반사/거울 효과가 없다.,단일 장면으로 구성되어 있다.,한국-일본식 파스텔 그림책 스타일을 띄고 있다.,"사실적 렌더링이 혼입되지 않고, 그림책 스타일이다.",이미지에 사람은 나타나지 않는다.,사람이 없으므로 해당 사항이 없다.,프롬프트의 장면이 이미지에 잘 반영되어 있다.,밝기가 적절하다.,이미지가 충분히 선명하다.,색감이 파스텔 범위에 있다.,낮/밤에 대한 특정 시간 정보는 없으나 전반적 색조가 일치한다.,침대에 누워있는 장면이 잘 표현되었다.,이미지에 텍스트가 삽입되지 않았다.,16,L4,,L4,1739,565
