image_id,dog_visible,face_clear,no_duplicate_face_parts,no_extra_legs,one_dog,no_mirror,no_multi_panel,pastel_style,no_realistic_rendering,human_prompt_consistency,human_face_clear,prompt_reflected,brightness_ok,sharpness_ok,pastel_color_ok,time_palette_ok,place_context_ok,no_text,reason_dog_visible,reason_face_clear,reason_no_duplicate_face_parts,reason_no_extra_legs,reason_one_dog,reason_no_mirror,reason_no_multi_panel,reason_pastel_style,reason_no_realistic_rendering,reason_human_prompt_consistency,reason_human_face_clear,reason_prompt_reflected,reason_brightness_ok,reason_sharpness_ok,reason_pastel_color_ok,reason_time_palette_ok,reason_place_context_ok,reason_no_text,total_score,raw_level,caps_applied,final_level,input_tokens,output_tokens
20260415_100820_048b3f,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1.0,1,1,강아지가 이미지 중앙에 뚜렷하게 나타나 있음.,"눈, 코, 입이 뭉개짐 없이 선명하게 표현됨.",강아지의 얼굴 부위가 중복되지 않음.,강아지의 다리 개수가 자연스럽고 추가되지 않음.,이미지에는 강아지 한 마리만 있음.,반사나 거울 이미지가 없음.,이미지는 단일 장면임.,한국식 파스텔 그림체로 표현됨.,사실적 렌더링 없이 일러스트적으로 표현됨.,사람이 이미지에 등장하지 않음.,사람이 이미지에 등장하지 않음.,강아지가 목욕하는 장면이 프롬프트와 일치하게 묘사됨.,밝기가 적절하고 장면이 뚜렷함.,이미지가 전반적으로 선명하고 디테일함.,색감이 파스텔 톤으로 부드럽고 조화로움.,시간대와 맞는 밝고 부드러운 색상 팔레트 사용.,목욕탕이라는 장소와 잘 어울리는 배경.,이미지에 텍스트가 포함되지 않음.,16,L4,,L4,2771,582
20260415_101812_e8a482,1,1,1,1,1,1,0,1,1,,,1,1,1,1,1.0,1,1,이미지에 강아지가 명확히 보입니다.,강아지 얼굴이 선명하고 왜곡 없이 잘 표현되었습니다.,"눈, 코, 귀가 중복 없이 자연스럽습니다.",다리 개수가 정상적이며 부자연스럽지 않습니다.,이미지에 강아지가 정확히 한 마리 등장합니다.,반사 이미지가 없습니다.,이미지가 두 장면으로 분할되어 있습니다.,한국-일본식 파스텔 그림책 스타일이 잘 드러납니다.,사실적 렌더링이 혼입되지 않았습니다.,사람이 등장하지 않으므로 해당 사항 없음.,사람이 없으므로 해당 사항 없음.,프롬프트의 핵심 장면이 잘 반영되었습니다.,밝기가 적절하게 표현되었습니다.,이미지가 전반적으로 선명합니다.,색감이 파스텔 범위 내에 잘 들어갑니다.,프롬프트의 시간대에 맞는 팔레트가 사용되었습니다.,프롬프트에 맞는 목욕탕 배경이 잘 표현되었습니다.,이미지에 텍스트가 삽입되지 않았습니다.,15,L4,no_multi_panel->L1,L1,2768,567
20260415_104723_a91139,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1.0,1,1,강아지가 명확히 목욕 중임.,강아지 얼굴이 선명히 표현됨.,"눈, 코 등이 추가로 생성되지 않음.",다리 개수가 자연스럽게 표현됨.,이미지에 강아지가 한 마리만 있음.,반사나 거울 이미지는 없음.,단일 장면 구조임.,한국식 파스텔 그림책 스타일로 그려짐.,사실적 렌더링 혼입 없이 표현됨.,사람이 등장하지 않음.,사람이 등장하지 않음.,목욕한 날이라는 프롬프트와 잘 맞음.,밝기가 적절함.,이미지가 전반적으로 선명함.,색감이 파스텔 범위 내에 있음.,시간대와 색채가 잘 어울림.,목욕탕 배경이 프롬프트와 일치함.,글자가 삽입되지 않음.,16,L4,,L4,2769,505
20260415_105503_770317,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1.0,1,1,강아지가 명확하게 표현되어 있음.,강아지 얼굴이 선명하고 자연스럽게 표현됨.,"눈, 코, 귀가 정확히 한 쌍씩 표현됨.",다리 개수가 정확히 표현되어 있음.,이미지에 강아지가 한 마리만 있음.,반사 또는 거울 효과가 없음.,단일 장면으로 구성되어 있음.,한국-일본식 파스텔 그림책 스타일로 잘 표현됨.,사실적 렌더링이 혼입되지 않음.,사람이 등장하지 않음.,사람이 등장하지 않음.,"""공원에서 신나게 뛰어놀았어요""의 장면이 잘 반영됨.",밝기가 적절하고 상쾌함.,이미지가 전반적으로 선명하며 뭉개짐이 없음.,색상이 파스텔 범위에 적합함.,배경색과 낮의 분위기가 일치함.,공원이라는 장소 배경이 명확히 표현됨.,텍스트가 삽입되어 있지 않음.,16,L4,,L4,2767,556
20260415_113143_64da8a,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1.0,1,1,강아지가 이미지에 명확히 나타나 있다.,강아지 얼굴이 선명하고 부드럽게 표현되어 있다.,강아지 얼굴은 정상적으로 보이며 중복된 부분이 없다.,강아지 다리가 추가되지 않고 정상적으로 표현되어 있다.,이미지에는 한 마리의 강아지만 있다.,반사나 거울 이미지는 없다.,멀티패널이나 분할 화면이 아닌 단일 장면이다.,한국-일본식 파스텔 그림책 스타일로 표현되었다.,사실적인 렌더링 없이 일러스트 스타일로 표현되었다.,사람은 프롬프트에 명시되어 있지 않다.,사람 얼굴이 없으므로 평가할 수 없다.,강아지가 무릎 위에서 잠든 장면이 잘 반영되어 있다.,이미지의 밝기가 적절하다.,이미지는 선명하고 디테일이 살아있다.,색감이 부드러운 파스텔톤이다.,낮의 창밖 배경과 밸런스가 맞다.,실내 배경이 적절하게 표현되었다.,이미지에 텍스트가 삽입되지 않았다.,16,L4,,L4,2767,582
20260415_135430_4dcd30,1,1,1,1,1,1,1,1,1,,,0,1,1,1,1.0,1,1,강아지가 이미지 중앙에 잘 보인다.,강아지의 얼굴이 선명하고 이목구비가 뚜렷하다.,얼굴에 중복된 부분이 없다.,강아지의 다리는 추가로 생성되지 않았다.,이미지에는 강아지 한 마리만 있다.,거울이나 반사되지 않았다.,이미지가 단일 장면으로 구성되어 있다.,파스텔 그림책 스타일로 잘 표현되었다.,사실적인 렌더링 없이 일러스트 스타일이다.,사람이 등장하지 않는다.,사람이 등장하지 않는다.,프롬프트의 '친구들' 요소가 반영되지 않았다.,밝기가 적절하다.,이미지가 전체적으로 선명하다.,색감이 파스텔 톤으로 잘 표현되었다.,생일파티 분위기에 맞는 밝은 팔레트이다.,실내에 파티 장식이 있는 생일파티 장면이다.,텍스트가 삽입되지 않았다.,15,L4,prompt_reflected->L3,L3,2767,543
20260415_150630_acd529,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1.0,1,1,강아지가 이미지 중앙에 명확히 표현되어 있다.,"강아지 얼굴의 눈, 코, 귀가 선명하게 표현되어 있다.","눈, 코, 귀가 중복되어 생성되지 않았다.",강아지의 다리 개수가 자연스럽다.,이미지에는 정확히 한 마리의 강아지가 있다.,이미지에 반사되거나 거울 효과가 없다.,이미지는 단일 장면으로 구성되어 있다.,파스텔 그림책 스타일로 표현되어 있다.,"사실적 렌더링이 아니며, 일러스트 느낌을 잘 유지하고 있다.",이미지에 사람은 표현되어 있지 않다.,이미지에 사람이 등장하지 않는다.,프롬프트의 주요 장면(콩이의 공원 산책)이 잘 반영되었다.,"이미지의 밝기가 적절하며, 햇살 아래의 느낌을 잘 살렸다.",이미지는 전반적으로 선명하고 디테일이 살아있다.,색감이 파스텔 톤으로 부드럽고 자연스럽다.,낮 장면에 맞는 밝은 팔레트가 사용되었다.,이미지 배경이 공원의 느낌을 잘 전달한다.,이미지에 텍스트가 삽입되지 않았다.,16,L4,,L4,2768,652
20260415_151718_79edfe,1,1,1,1,1,1,1,1,1,,,0,1,1,1,1.0,1,1,강아지가 명확하게 나타나 있다.,강아지의 얼굴이 선명하게 표현되었다.,"눈, 코, 귀가 중복되지 않았다.",다리가 4개로 적절하게 표현되었다.,강아지가 한 마리 존재한다.,반사/거울 이미지가 없다.,단일 장면으로 구성되었다.,파스텔 그림책 스타일로 잘 표현되었다.,사실적 렌더링이 혼입되지 않았다.,사람이 등장하지 않음.,사람이 등장하지 않음.,비 오는 날이라는 요소가 반영되지 않았다.,밝기가 적절하다.,이미지가 전체적으로 선명하다.,색감이 파스텔 톤으로 적절하다.,"시간대와 환경은 구별되지 않지만, 실내 분위기는 적절하다.",집 안 설정이 잘 표현되었다.,텍스트가 삽입되지 않았다.,15,L4,prompt_reflected->L3,L3,2767,523
20260415_152316_c486a4,1,1,1,1,0,1,1,1,1,1.0,1.0,1,1,1,1,1.0,1,0,강아지가 명확하게 보입니다.,강아지 얼굴이 선명하고 디테일이 잘 표현되었습니다.,"눈, 코, 귀 중복 없이 적절하게 그려졌습니다.",다리가 추가로 생성되지 않고 정상적으로 표현되었습니다.,이미지 내에 두 마리의 강아지가 있습니다.,반사/거울 이미지는 없습니다.,단일 장면으로 구성되어 있습니다.,한국식 파스텔 그림책 스타일로 그려졌습니다.,사실적 렌더링 없이 일러스트로 표현되었습니다.,프롬프트와 충돌하지 않는 사람 표현이 있습니다.,사람 얼굴이 식별 가능하게 그려졌습니다.,프롬프트의 핵심 장면과 요소가 잘 반영되었습니다.,밝기가 적절합니다.,이미지가 전체적으로 선명합니다.,색감이 파스텔 톤으로 잘 활용되었습니다.,시간대와 팔레트가 일치합니다.,장소인 애견카페가 배경으로 잘 표현되었습니다.,이미지에 'DOG CAFE'라는 텍스트가 삽입되어 있습니다.,16,L4,"one_dog->L1,no_text->L3",L1,2767,564
20260415_152612_8817b3,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1.0,1,1,강아지가 명확히 침대에서 보인다.,강아지 얼굴이 왜곡 없이 선명하게 표현되어 있다.,"강아지의 눈, 코, 귀가 중복 없이 정확히 표현되어 있다.",다리의 개수가 자연스럽고 추가된 부분이 없다.,이미지 내에는 한 마리의 강아지만 있다.,반사나 거울 효과가 없다.,단일 장면으로 구성되어 있다.,한국-일본식 파스텔 그림책 스타일이 잘 반영되어 있다.,사실적 렌더링 요소가 없다.,사람이 등장하지 않는다.,사람이 표현되지 않으므로 해당 없음.,프롬프트의 주제가 잘 반영되어 있다.,밝기가 적절히 조절되어 있다.,이미지가 전반적으로 선명하다.,색감이 파스텔 범위에 잘 맞는다.,시간대와 팔레트가 자연스러워 보인다.,침대라는 배경이 제대로 표현되어 있다.,이미지에 텍스트가 삽입되지 않았다.,16,L4,,L4,2764,554
